Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Operante
Data Inicial: 1991-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1991-01-01;,8;3,6;1,6;31,1;24,1;19,6;86,8;63;,5;
1991-01-02;1,4;5,8;16,6;31,5;25,3;19,4;80,8;58;1,2;
1991-01-03;2,6;7,6;,3;32,1;25,7;23,2;80,5;61;1,9;
1991-01-04;2,8;9,7;3;32,5;27,5;23;71,3;55;1,3;
1991-01-05;1;4,3;0;33,1;26,2;24;80,8;51;2,5;
1991-01-06;2,5;7,7;68,3;32,7;27,1;23,4;77,5;49;1,2;
1991-01-07;3;0;30,5;26,7;23,6;21,4;92,8;90;1,4;
1991-01-08;1,5;2,8;2,3;30,7;26,7;23;81,3;69;2,7;
1991-01-09;1,5;8,7;0;33,9;28,3;23,4;70;61;2,2;
1991-01-10;4;7,2;6,2;32,1;27,4;23;73,5;54;1,1;
1991-01-11;4,8;4,7;0;31,1;27;24,2;72;61;1,4;
1991-01-12;2,2;6,5;3,8;32,7;28,6;25;68;54;1,6;
1991-01-13;4;0;97,3;25,7;24,3;21,8;92,3;70;1,6;
1991-01-14;1;,5;5;29,5;25;21,9;88;70;3;
1991-01-15;2;,9;17,5;28,3;24,1;23,2;86,5;73;1,6;
1991-01-16;1;1,5;37;29,5;25,7;23;83,3;77;1,4;
1991-01-17;1,5;,1;101;26,9;24,3;21,3;86,8;81;1,1;
1991-01-18;1;4,6;19;31,3;25,2;20,8;87,5;78;1,4;
1991-01-19;2;1;10;29,7;25;21,8;84,3;64;1,1;
1991-01-20;1;6,7;,3;32,3;25,2;19;82,5;54;1,5;
1991-01-21;3;5,6;41,6;29,3;25,2;23;94,8;85;1,9;
1991-01-22;2;3,1;63;29,7;24,3;20;85,5;75;2,2;
1991-01-23;2;3,8;8,1;30,3;25,5;22,8;88,8;73;1,6;
1991-01-24;1;3,8;11,4;30,3;25,7;22;82,3;69;1,4;
1991-01-25;4;8;2;31,5;26,5;21,8;78,3;63;1,4;
1991-01-26;2;5,2;0;31,9;25,6;20,2;85,5;78;1,6;
1991-01-27;1;6;1,4;32,5;27,3;24,2;83,5;72;1,1;
1991-01-28;3;7,9;,4;33,3;27,6;23,8;78,3;66;2,2;
1991-01-29;3;3,6;2,5;31,5;26,9;23;79,8;66;1,1;
1991-01-30;1,5;8,7;0;33,1;28;24,6;70,5;60;2,2;
1991-01-31;4;4,5;7,7;31,7;26,8;24;78,8;55;1,9;
1991-02-01;null;3,7;0;31,7;27,2;24,7;81,5;70;2,2;
1991-02-02;null;1,4;0;31,7;25,1;22,4;94;85;1,9;
1991-02-03;1,5;3,4;30,5;29,6;25,5;22,4;77,8;60;1;
1991-02-04;2;6,4;0;32,9;27;22;72,3;50;1,6;
1991-02-05;3;5,3;29,8;29,7;24,6;21,6;82,3;66;1,1;
1991-02-06;3;5,5;1,8;32,6;26,4;21,2;76;50;1,4;
1991-02-07;3;5,2;15,6;31,1;26,4;23,8;84,5;67;,8;
1991-02-08;2;5,5;,6;31,3;25,9;23,8;87;78;1,1;
1991-02-09;1;5,9;9,5;31,4;26,7;23;80;57;,8;
1991-02-10;3,5;6,7;0;33,7;28,9;24;65,5;48;1,4;
1991-02-11;2;7,1;0;33,9;28,2;24;67,5;44;1,9;
1991-02-12;2;7;0;32,5;28,3;24,6;70;63;1,5;
1991-02-13;4;6,9;0;33;28,4;24,2;71,3;48;1,7;
1991-02-14;3;6,9;,6;31,9;27,8;24,6;71,5;56;2,4;
1991-02-15;4,5;6;1;32,9;28,8;24,2;67;59;,8;
1991-02-16;5,5;6,8;0;33,3;28,6;23,4;64;51;2,2;
1991-02-17;2;5,7;3,2;32,5;27,1;22,6;72,8;53;1,9;
1991-02-18;2,5;,1;0;28,5;25,2;23,6;88,5;75;1,9;
1991-02-19;1;9,2;5,7;32,7;27,3;24;71,3;53;1,9;
1991-02-20;3;7;4,4;32,5;27,4;24,4;70,3;50;1,6;
1991-02-21;4;8,6;,5;32,1;26,9;23,6;79,8;60;1,9;
1991-02-22;null;9,5;2;32,5;27,8;23;69,8;48;1;
1991-02-23;null;9,8;0;32,9;26,9;24,2;74,5;51;2,2;
1991-02-24;5;5,4;11,1;32,5;27,6;23,2;73;58;1,1;
1991-02-25;null;2,4;,2;32,5;27,1;24,8;76,5;54;2,5;
1991-02-26;2,8;9;,2;33,1;28,4;25;71;51;1,9;
1991-02-27;4,7;4,7;2;32,9;27,3;24,2;75;53;1,9;
1991-02-28;3;0;15,7;30,3;26,7;23;79,8;68;1,3;
1991-03-01;2;5,3;0;32,9;27,1;23,4;73,5;50;1,3;
1991-03-02;2;6,5;3,2;31,9;27,1;23,2;77,8;63;2,2;
1991-03-03;3;4;0;32,1;26,3;22,7;81,8;53;1,6;
1991-03-04;3;0;22,9;29;24,9;22,6;92;89;1,9;
1991-03-05;1;5,1;1;31,3;25,9;22,6;87;85;1,6;
1991-03-06;3,5;9,3;3,2;31,5;27,4;22,8;75,8;61;2,5;
1991-03-07;4;4,2;,5;31,4;26,8;23;83,8;72;2,2;
1991-03-08;2;1,2;0;30,3;26,4;24,6;82,3;70;2,5;
1991-03-09;2;0;8,5;28,1;23,4;20,8;96,5;89;1,9;
1991-03-10;2;9;,8;32,1;26,3;22;78,3;59;2,2;
1991-03-11;3,5;7,6;0;32,5;27,2;22,8;75;71;1,4;
1991-03-12;3,5;4;0;32,3;26,8;24,8;88;77;,8;
1991-03-13;2;1,8;28;30,3;25,9;23;87,8;76;1,9;
1991-03-14;2;3,8;7,5;30,5;25,3;21,6;90;74;2,7;
1991-03-15;1,5;3,5;55;30,7;25,9;23;85,3;73;1,6;
1991-03-16;2;8,1;2,2;32,3;26,3;23,4;80,5;61;1,1;
1991-03-17;2;4,2;10;30,3;25,7;21,8;86,5;75;2,2;
1991-03-18;2;4;5,5;30,3;26,1;23,2;79,8;72;2,5;
1991-03-19;2;3,9;2;31,6;26,1;21,4;79,8;63;1,9;
1991-03-20;3,9;8,9;,2;32,8;27,1;23;74,5;63;1,3;
1991-03-21;4,1;6,2;0;32,3;27,2;23,5;77;62;1,6;
1991-03-22;3;8,1;,3;31,7;27,5;24;73,8;67;2,7;
1991-03-23;2,3;3,8;0;31,1;26,6;24,5;82;72;1,6;
1991-03-24;2,7;3,8;0;31,7;26,5;24,2;76,8;60;1,6;
1991-03-25;3,5;2,5;0;30,7;26,1;23,6;83,5;70;2,2;
1991-03-26;2;5,4;1,8;31,2;26,3;23,2;80,3;73;1,9;
1991-03-27;3;2,2;0;32,1;26,5;24;83,3;71;2,5;
1991-03-28;1;3,8;0;31,6;25,7;23,5;92,5;86;2,2;
1991-03-29;2;0;19;29,9;25,3;22,4;79,8;66;1,1;
1991-03-30;2;2,1;0;31;26,1;23,4;81,8;61;,7;
1991-03-31;2;3,2;26,8;30,1;25,6;22,6;82,8;67;1,2;
1991-04-01;2;1,6;7,6;29,7;25,7;23,4;85,8;76;1,4;
1991-04-02;2;7,6;3,5;32,3;27,2;23,6;76,8;63;,5;
1991-04-03;3;null;0;33;27,5;23,8;71,8;61;1,9;
1991-04-04;4;null;0;32,6;26,7;23,6;83;58;1,4;
1991-04-05;3,5;null;27;33,5;27,1;24;76,8;47;1,6;
1991-04-06;null;null;0;32,1;27,5;24;68,3;57;1,1;
1991-04-07;null;null;0;33,3;28,1;24,2;68;55;1,1;
1991-04-08;null;7,3;3,5;33,7;28,3;23,4;67,5;44;1,1;
1991-04-09;1,7;6;0;31,9;27,9;24,1;72,8;69;1,9;
1991-04-10;null;null;0;32,7;26,4;21,4;83,3;66;1,4;
1991-04-11;3;5,7;8,5;32,5;26,2;23,4;86,8;68;1,6;
1991-04-12;2;6,7;35,5;32;26,2;23;81,5;54;,8;
1991-04-13;4;8,9;0;32,1;26,5;23,4;79,3;57;1,6;
1991-04-14;null;7,2;0;32,5;27,1;23;75;62;1,2;
1991-04-15;3;9,9;0;32,5;26,8;23,4;65,3;62;1,1;
1991-04-16;1;7,1;1,5;31,9;26,8;22,4;80,8;58;1,3;
1991-04-17;2;7,9;8,7;32,1;27,2;23;76;66;2,2;
1991-04-18;9,5;8,9;0;33,2;28,2;24,6;67,3;52;1,6;
1991-04-19;6;5,1;4,4;31,9;26,8;22,8;75,8;65;1,6;
1991-04-20;4;3,3;0;31,9;27,1;24;83,3;75;1,9;
1991-04-21;null;7,3;5,5;32,3;27,3;24;79;72;1,4;
1991-04-22;1;5,7;,5;33,3;27,6;23,6;78,8;63;1,6;
1991-04-23;2;9,5;0;33,1;27,2;24;75;63;1,9;
1991-04-24;1;3,5;0;32,1;26,9;24;87,3;78;1,9;
1991-04-25;1;9,9;8;32,1;27,2;23,6;70,8;55;1,6;
1991-04-26;null;4,5;0;32,1;26,1;23,9;81,5;55;2,2;
1991-04-27;null;7,6;1;32,5;26,6;23,2;81,3;52;1,6;
1991-04-28;1,2;6;0;30,7;25,9;21,4;79,5;67;,8;
1991-04-29;4,4;7;8;30,5;26,1;24,2;82,3;64;1,1;
1991-04-30;3;8,1;0;32,5;27,6;24,6;73;58;1,1;
1991-05-01;2;5,7;0;32,1;26,1;19,6;82,8;66;1,1;
1991-05-02;2;3,7;0;30,3;26,6;24;81,3;74;1,3;
1991-05-03;1;3,6;14;30,7;27;23;78,5;71;1,1;
1991-05-04;4;,1;0;33,1;28,6;24,4;72;66;2,5;
1991-05-05;3;9,4;0;33,1;27,2;24;79,3;63;1,1;
1991-05-06;null;1,6;0;31,7;26,8;24;79,8;60;1,9;
1991-05-07;4;2,5;0;29,3;25,6;23,4;90,5;88;,4;
1991-05-08;null;4,4;9,6;32,5;27,2;23,4;86;68;1,1;
1991-05-09;null;7,8;0;29,3;25,6;23,6;92,8;85;1,4;
1991-05-10;4;8,6;6,7;32,5;27;22,8;86;77;1,9;
1991-05-11;2;10,4;0;33,1;27,3;23,6;79,8;56;2,7;
1991-05-12;null;7,9;0;33,1;27,7;24;73,5;54;2,2;
1991-05-13;3;9,3;0;33,3;28;22,8;72,5;53;1,9;
1991-05-14;1;5,5;0;33,1;28,1;22;68,5;57;1,9;
1991-05-15;2;7,4;1;32,7;26,7;23;79,5;67;1,6;
1991-05-16;6;4,5;1;32,5;27,3;24;77,8;61;1,1;
1991-05-17;2;4,4;0;31,3;26,8;24;82,8;62;1,6;
1991-05-18;2;5,8;0;30,1;26,6;24;80,8;79;1,1;
1991-05-19;3;7,8;0;33,1;26,8;24,4;80,5;56;2,2;
1991-05-20;3;7,2;0;30,1;26;23;80;74;1,6;
1991-05-21;3;8,3;0;32,7;26,9;22,4;74,5;57;2,5;
1991-05-22;4;7,8;0;33,7;27,6;23;76,5;52;1,4;
1991-05-23;8;7,3;,7;32,8;27,2;24;80,5;67;1,1;
1991-05-24;2;8,1;9,3;33,3;26,6;21,2;73,5;53;1,1;
1991-05-25;5;0;0;32,5;27,2;24,8;76,5;59;1,1;
1991-05-26;1;,1;6;32,7;26,8;22,6;77,8;60;1,4;
1991-05-27;,5;9,6;0;32,3;26,2;22;75,5;62;1,9;
1991-05-28;4,5;6,6;0;32,3;26,2;19,8;70;63;2,2;
1991-05-29;2;9,5;0;32,2;26,5;21,4;72;55;2,2;
1991-05-30;6;8,8;0;33,3;27,1;21,4;73,8;50;2,5;
1991-05-31;3;9;0;33,1;27,3;22;73,8;51;2,7;
1991-06-01;5,5;9,7;0;33,1;27,2;22,4;70,3;51;1,9;
1991-06-02;9,5;9,8;0;30,1;27,1;23;74,5;69;1,4;
1991-06-03;8,5;9,9;0;33,6;27,6;22;74,5;55;1,6;
1991-06-04;6;9,1;0;32,8;27;22;76,8;55;1,4;
1991-06-05;2;9;0;32,7;26,1;21,2;76,3;55;1,9;
1991-06-06;5;9,9;0;33,9;27,2;21,4;72,3;57;2,5;
1991-06-07;5;10,1;0;33,7;28,4;23;65,5;52;1,6;
1991-06-08;5;2,8;0;31,3;27,5;22;73;66;1,9;
1991-06-09;3;8,4;0;33,5;27,6;23;72,5;55;1,1;
1991-06-10;4;7;0;34,6;28,3;23;70,3;53;1,9;
1991-06-11;6;8,7;0;33,9;28,4;23;65,3;52;,7;
1991-06-12;2;7,6;0;33,5;26;22,4;79;51;1,1;
1991-06-13;3;6,9;0;32,7;27,6;23;71,3;64;1,6;
1991-06-14;3;4;0;33,5;27,9;23;69,5;56;1,7;
1991-06-15;4;9,9;0;33,7;27,8;22;68,8;53;1,4;
1991-06-16;1;8,5;0;33,6;27,8;22;62,5;47;1,4;
1991-06-17;4;9,8;0;35,9;28,6;22;68,3;52;1,6;
1991-06-18;6;9,7;0;34,2;27,7;22,8;66,3;54;1,6;
1991-06-19;6;10,3;0;33,1;26,2;21;59,8;32;1,1;
1991-06-20;7,5;9,3;0;33,9;28,2;23;66,5;44;1,1;
1991-06-21;5,5;10,4;0;35,1;28;22;63;43;2,5;
1991-06-22;4;7,7;0;33,7;27,6;23;76,5;52;1,4;
1991-06-23;8;7,3;,7;32,8;27,2;24;80,5;67;1,1;
1991-06-24;2;8,1;9,3;33,3;26,6;21,2;73,5;53;1,1;
1991-06-25;5;10,1;0;32,5;27,1;24,8;70,5;51;1,1;
1991-06-26;12;8,9;0;34,5;26,8;20,4;66,8;40;,6;
1991-06-27;6,3;4,6;0;31,7;26,8;22;72,5;60;,6;
1991-06-28;1,7;9,7;0;33,5;26,8;21,8;72,3;51;1,1;
1991-06-29;5,5;8,8;0;34,1;27,4;22,2;76,8;44;1,1;
1991-06-30;5,5;9,7;0;33,7;27,6;24;60,3;40;1,4;
1991-07-01;5,4;9,8;0;33,9;27;21,2;69;47;1,5;
1991-07-02;4,9;8,9;0;33,5;27,7;22,4;70,3;51;1,2;
1991-07-03;4,7;8,6;0;33,7;27,3;21,4;66,8;45;1,4;
1991-07-04;4;6;0;33,4;26,6;22,2;78;67;,8;
1991-07-05;4,2;9,5;0;33,3;27,2;20,2;63,5;43;1,7;
1991-07-06;1,8;8,1;0;34,3;28,1;23,6;65,8;49;,8;
1991-07-07;10;8;0;34,7;27,6;22;63;40;1,4;
1991-07-08;3,7;8,4;0;33,7;27;21;62;45;1,8;
1991-07-09;6,3;7,9;0;33,7;27;20,8;66,5;47;1,3;
1991-07-10;7;9,6;0;34,7;27,7;21,8;70,8;47;1,1;
1991-07-11;5,3;9,6;0;35,5;28,3;23;62;36;1,6;
1991-07-12;6,3;10,1;0;35,5;28,1;21,3;58,3;39;1,5;
1991-07-13;1,9;8,2;0;34,7;28,1;21,3;64;43;1,1;
1991-07-14;5,1;9;0;33,1;27,3;23;76;55;1,1;
1991-07-15;1,4;7,7;0;34,3;26,9;19,8;60,3;49;1,6;
1991-07-16;6;9,7;0;34,3;25,4;20;64,3;32;1,6;
1991-07-17;3;9,3;0;34,4;26,6;19,8;57,3;35;1,1;
1991-07-18;7;10,5;0;34,1;25,7;21;62,5;31;2,2;
1991-07-19;5,5;8,7;0;34,1;26,3;18,8;68,5;34;1,6;
1991-07-20;5,5;9,8;0;34,1;26,6;20;67;31;1,6;
1991-07-21;7;8;0;33,7;25,8;20;62,5;31;1,1;
1991-07-22;8,6;7,1;0;33,7;26,2;18;57;32;1,6;
1991-07-23;7,2;8,8;0;34,1;26,9;19,6;58,5;31;1,3;
1991-07-24;4,8;8,3;0;34,1;26,4;20;56,8;34;1,1;
1991-07-25;1,4;10,4;0;34,9;26,6;19,2;55,5;30;2,2;
1991-07-26;6;9,6;0;34,3;27,7;20,4;61,5;43;1,1;
1991-07-27;6;9,1;0;34,3;26,6;19,2;63,8;36;,9;
1991-07-28;5,4;6,5;0;34,6;27,7;19,2;54;31;1,6;
1991-07-29;4,8;9,3;0;33,9;26,4;19;53,3;25;2,5;
1991-07-30;4,2;9,9;0;34,7;25,8;17;54,3;30;1,6;
1991-07-31;3,4;7,8;0;34;26,1;22;67,3;37;1,1;
1991-08-01;5;7,6;0;35,5;28,6;22,4;52,8;34;1,1;
1991-08-02;6;7;0;35,1;28;24,2;55;30;1,9;
1991-08-03;5,5;6,8;0;34,1;27,9;22,2;64,3;43;1,9;
1991-08-04;4,3;7;0;34,1;27,1;21,8;65;36;,8;
1991-08-05;5,2;7,5;0;34,3;26,1;22;60,5;32;1,1;
1991-08-06;4;8;0;34,9;28,1;21;45;35;1,1;
1991-08-07;5;5,2;0;34,6;27,4;21,1;52,5;33;1,1;
1991-08-08;2;7,4;0;35,3;27,6;21;59,5;39;,8;
1991-08-09;3;7,3;0;34,1;27,9;21,2;57,3;43;1,6;
1991-08-10;2,5;8,9;0;34,3;27,1;20;62,8;35;1,9;
1991-08-11;5,4;8,4;0;35,2;28;19,6;57,3;36;1,6;
1991-08-12;9,1;8,3;0;35,3;27,5;19,1;63,8;43;1,6;
1991-08-13;4;7,7;0;35,1;27,3;19,8;63,5;43;1,7;
1991-08-14;5;6,9;0;35,7;27,9;19,8;57;30;1,1;
1991-08-15;3,5;7,5;0;34,4;26,8;21,6;61,3;36;1,4;
1991-08-16;6,5;8,4;0;34,3;26;20;59,8;36;1,6;
1991-08-17;5;8,8;0;34,3;25,9;21;63,8;31;1,1;
1991-08-18;6,5;8,8;0;33,6;27,1;23;55,8;41;1,6;
1991-08-19;5;8,8;0;34,1;27,5;22;52,8;39;1,6;
1991-08-20;5,5;,7;0;35,7;27,2;20,8;49,8;31;1,1;
1991-08-21;4,5;8,6;0;35,4;28;21,2;49,5;28;1,4;
1991-08-22;7;6,1;10;35,7;26;20;56,3;23;1,8;
1991-08-23;7;8,5;0;35,5;26,8;20,6;56;33;1,6;
1991-08-24;12;7,6;0;35,5;27,1;20,4;60,3;27;1,1;
1991-08-25;6;7;0;35,1;27,8;23,5;57,3;37;1,6;
1991-08-26;4,2;6,6;16,5;36,1;28,4;21;57,8;37;1,3;
1991-08-27;3,8;8,6;0;35,7;27,9;21,6;60,5;35;1,4;
1991-08-28;5;7;0;34,3;27,9;21,2;58;36;1,9;
1991-08-29;5;7,3;0;35,9;28;21,2;58,3;37;1,1;
1991-08-30;5;4,3;0;36,1;27,9;20,8;61,3;36;1,2;
1991-08-31;5;6,4;0;36,3;28,2;21;59;35;1,6;
1991-09-01;6;,2;0;35,7;28,8;23,6;50,8;30;1,1;
1991-09-02;5;,1;0;33,7;28,4;22,8;54,3;35;1,1;
1991-09-03;5;2,9;0;33,7;28,7;21,6;47;28;1,1;
1991-09-04;5;7,3;0;35,1;27,8;21,6;55,3;31;1,1;
1991-09-05;5;5,8;0;34,6;27,9;22;57;38;1,1;
1991-09-06;5;6,7;0;35,3;28,5;23,5;59,8;39;1,9;
1991-09-07;5;7,2;0;36,5;28,1;23;72,8;48;1,1;
1991-09-08;5,5;1,4;0;35,7;29;21,8;49;30;1,1;
1991-09-09;4,5;4,6;0;35,2;28,5;23;61,8;34;1,1;
1991-09-10;1;3;0;36,1;28,5;20;54,3;30;,5;
1991-09-11;8;1,2;0;33,3;27,5;23;66,8;52;1,4;
1991-09-12;4;2,3;0;36,3;29;23,5;61,3;46;1,6;
1991-09-13;5;5,5;0;36,1;29,5;24;53;34;1,4;
1991-09-14;5;5,9;0;36,4;29,2;23,5;63;40;1,6;
1991-09-15;5;6,1;0;33,6;28;25;63;37;1,9;
1991-09-16;6;,1;0;36,1;28;19,5;60;39;1,4;
1991-09-17;7;0;0;34,9;28;25;68;42;1,6;
1991-09-18;5;,1;0;33,6;26,9;24;74;49;2,2;
1991-09-19;5;3,7;0;35,9;28,1;24;67;43;1,6;
1991-09-20;5;0;0;35,4;27,3;23;75,5;52;1,6;
1991-09-21;7;0;0;32,1;27,3;24;65,5;51;2,2;
1991-09-22;4;1,3;10;29,1;25,2;22;78,3;65;1,3;
1991-09-23;4;5,1;0;34,3;26,6;22,8;71,3;39;1,4;
1991-09-24;5;4,2;0;34,3;26,8;23;74,3;47;1,1;
1991-09-25;7;3;0;34,7;27,9;25,2;70,8;46;2,5;
1991-09-26;5;1,3;16,4;30,9;26,4;23;75,5;66;1,4;
1991-09-27;3;3,1;0;32,7;27;24;72,5;51;1,1;
1991-09-28;2;,7;0;32,7;27,5;24;67,3;49;1,1;
1991-09-29;6;2;0;33,6;27,5;24;72;47;1,2;
1991-09-30;2;6;0;35,7;28,2;24;63,8;44;2,2;
1991-10-01;9;,9;0;33;27,7;25;66;45;1,1;
1991-10-02;6;4,8;,5;33,5;28,2;24,6;65,3;50;1,1;
1991-10-03;4;3;0;33,7;27,2;23;70;50;2,3;
1991-10-04;7;5,9;0;33,3;27,5;23,4;67;35;1,4;
1991-10-05;5;2,3;1,8;28,1;24,5;22;83,3;66;2,8;
1991-10-06;3;0;0;35,5;26,8;20,8;73,5;52;1,3;
1991-10-07;3;8,5;0;35,9;28,1;23;69,3;42;2,5;
1991-10-08;8;6,3;0;36,7;29,9;23;58,3;39;1,9;
1991-10-09;2;3,6;0;34,6;28;23,5;71;49;1,9;
1991-10-10;2;0;0;28,6;24,3;20;83,5;73;1,1;
1991-10-11;6;0;0;34,1;27,5;23;71;50;1,9;
1991-10-12;7;6;10,2;35,1;27,6;23,5;70,8;49;1,9;
1991-10-13;4,5;2,6;0;34;27,9;22;65,5;51;1,4;
1991-10-14;5;4,8;33,5;32,6;27,4;23;68,3;51;1,1;
1991-10-15;2;0;1,3;33,9;27,3;22;69;55;2,3;
1991-10-16;2;5;0;33,7;28,3;23,8;62,5;47;1,4;
1991-10-17;3,6;5,1;0;33,6;28,5;25,2;60,5;46;1,9;
1991-10-18;5,9;0;0;32,6;28,1;22,8;61,3;52;1,4;
1991-10-19;7,5;6,7;0;34,1;27,8;23;71;43;1,9;
1991-10-20;,5;4,8;0;32,5;26,9;23,5;70,5;50;1,6;
1991-10-21;5,5;5,2;0;33,5;26,7;22,5;74,8;48;1,7;
1991-10-22;4;4;0;34,1;27,5;23;62,8;38;1,9;
1991-10-23;2,6;5,1;,6;34,5;27,6;23;67,8;46;2,7;
1991-10-24;5,4;5,2;0;33,8;27,4;23,6;65,8;48;1,9;
1991-10-25;2;5,2;0;33,7;28,6;25;70,3;50;1,6;
1991-10-26;2;5,8;0;35,1;27,9;24,2;71,3;41;1,7;
1991-10-27;2;,1;0;32,4;27,6;25;70,3;54;1,4;
1991-10-28;3;,6;0;33,5;27,2;23;77,8;70;1,9;
1991-10-29;2;,4;,3;32,4;26,1;23,2;80,3;57;1,4;
1991-10-30;3;1,4;2;32,6;28,1;23,2;66,5;53;2,2;
1991-10-31;3;4;0;33,7;27;23;69,5;52;1,6;
1991-11-01;3;2,5;0;32,7;27,4;23,6;69,5;51;1,6;
1991-11-02;5;1,7;0;33,7;26,3;23;78;64;1,4;
1991-11-03;2;,2;16,5;27,3;23,5;20,9;91,3;82;1,4;
1991-11-04;3;6,4;0;32,5;27,2;23;71,5;50;,8;
1991-11-05;4;5,7;0;33,3;27,6;22;71,8;60;1,9;
1991-11-06;5;6,2;0;33,5;28,1;23,2;64,5;47;1,9;
1991-11-07;6;2,6;0;34,4;28,2;24;66,5;47;1,3;
1991-11-08;14,5;2,7;0;34,6;28,2;23,2;71,5;48;1,9;
1991-11-09;4,5;2,3;0;33,3;29;25;63,5;54;1,1;
1991-11-10;1;0;0;33,5;28,7;23,2;60,3;47;2,5;
1991-11-11;12;0;0;32,7;27,6;20,4;64,5;55;1,4;
1991-11-12;5,5;0;0;32,6;28,1;24,5;65,5;57;1,9;
1991-11-13;4,5;5,2;0;33,6;27,9;23;67;55;1,4;
1991-11-14;4;5,2;0;33,6;28;23,5;65;43;1,6;
1991-11-15;10;,4;0;33,1;28;23;64,5;47;1,4;
1991-11-16;10;0;0;32,9;27,9;23;63;47;1,1;
1991-11-17;3;2,6;0;33,5;28,2;23,5;62,5;49;1,4;
1991-11-18;5;0;0;33,9;28;23;67;49;1,6;
1991-11-19;5;5,2;0;33,1;28,1;25;57,8;50;1,1;
1991-11-20;5;0;,5;30,7;26,8;22;77;60;1,7;
1991-11-21;6;,3;0;32,1;27,1;23;65,8;58;2,5;
1991-11-22;4;2;0;32,7;27,8;25;66;49;1,9;
1991-11-23;5,5;10,1;0;33,6;28,4;23;65;51;1,7;
1991-11-24;4,5;0;,2;33,1;28,1;23;62,3;48;,5;
1991-11-25;5;9,2;0;36,3;30,2;25;60,8;43;2,2;
1991-11-26;5;6,8;0;36;30,5;26;60,5;44;1,9;
1991-11-27;6;5,4;0;36,4;30,3;25,4;48,3;41;1,1;
1991-11-28;4;,7;,3;31,3;27;23,6;72,5;45;1,9;
1991-11-29;6,5;0;0;31,7;27,2;23,3;69;52;1,1;
1991-11-30;5;2,8;17,5;31,7;27;23,4;73,5;63;1,6;
1991-12-01;21;3,7;17,5;31,7;26,7;22,4;75;56;1,1;
1991-12-02;3;0;1;30,1;26,4;23;79,8;74;1,4;
1991-12-03;3;5,7;0;31,6;27,1;24,2;75,5;62;,5;
1991-12-04;4;,4;0;34;28,9;24,4;62,5;49;1,9;
1991-12-05;4;7,6;0;30,1;26,3;23,5;78,3;62;1,9;
1991-12-06;8;5,3;4;31,6;27,9;25;70;59;1,4;
1991-12-07;3;,1;0;32,6;27,2;23;67,8;50;1,4;
1991-12-08;3;0;,7;31,5;27,4;25;73,5;61;1,1;
1991-12-09;4,8;6,8;1;35,5;28,8;24,9;64;48;1,1;
1991-12-10;5,2;2,9;0;33,6;28,1;25;67,3;50;1,6;
1991-12-11;2;,5;0;34,1;27,8;23,5;65,8;51;1,4;
1991-12-12;4;1,1;0;34,6;28,7;25;67,5;53;1,4;
1991-12-13;4,5;0;0;32,9;27,8;25;68,3;48;1,4;
1991-12-14;1;5,2;48,6;29;25;21,2;87,8;78;1,4;
1991-12-15;2,8;,3;0;29,7;26,5;24;80,8;71;1,1;
1991-12-16;2;6,1;2;33,3;27,6;24,2;68,3;52;1,1;
1991-12-17;2,7;0;0;30,1;25,7;22;82;76;1,4;
1991-12-18;1,5;0;0;35,1;27,4;24;70;43;1,1;
1991-12-19;4;0;2;34,1;26,9;23,8;73,3;46;1,7;
1991-12-20;2;,5;2,5;32,1;25,3;18;83,8;66;1,4;
1991-12-21;4;2;5,8;33,3;26,8;23;70,5;51;1,6;
1991-12-22;5;7,4;0;35,5;27,6;23;69,3;43;1,4;
1991-12-23;5;8,6;0;32,9;27,4;25;69;56;1,6;
1991-12-24;5;8,6;0;33;27,4;23,8;69,8;48;2;
1991-12-25;5;8,4;0;32,9;27,6;24;67,8;50;1,6;
1991-12-26;5;7,9;0;33,2;27,2;22;70,8;52;1,9;
1991-12-27;5;0;0;32,1;26,8;23;75,8;57;1,8;
1991-12-28;3;5,9;78,3;31,3;26,6;21,8;76,3;66;1,4;
1991-12-29;3;5,4;0;30,9;25,8;22;76,8;63;1,7;
1991-12-30;4;3,2;0;32,6;27,5;24,8;71,3;54;1,1;
1991-12-31;5;9,5;0;32,3;26,7;22,5;71,5;51;1,4;
1992-01-01;5;,4;0;33,4;27,6;23;68,8;50;1,6;
1992-01-02;5;3,3;,6;33,3;27,6;23,6;69,8;56;1,4;
1992-01-03;3;4,8;3,6;32,3;27,4;23,2;68,8;50;1,1;
1992-01-04;4;5,1;0;33,9;28;23,2;67,8;48;1,4;
1992-01-05;7;7,5;2;34,2;27,9;23,8;70,3;57;1,1;
1992-01-06;2;5,9;0;33,4;28,1;25;68;53;1,1;
